ID,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,clusterAll
IronDay15,14,17,16,20,10,9,11,17,5,13,264
Nonsupp,53,5,21,13,69,21,3,20,1,2,416
Supp,271,0,22,272,2,73,114,516,16,1,2574
Paulo,136,77,156,122,100,127,86,239,50,90,2366
IronDay15&Nonsupp,3,0,0,0,1,0,1,0,0,0,10
IronDay15&Supp,7,0,0,10,0,0,7,13,0,0,74
IronDay15&Paulo,7,9,10,8,9,3,3,18,0,4,142
Nonsupp&Supp,126,0,1,38,9,40,4,72,0,0,580
Nonsupp&Paulo,9,1,4,1,30,4,0,5,0,0,108
Supp&Paulo,65,2,5,46,1,9,24,154,0,0,612
IronDay15&Nonsupp&Supp,13,0,0,7,3,1,2,3,0,0,58
IronDay15&Nonsupp&Paulo,0,0,1,1,0,0,0,1,0,0,6
IronDay15&Supp&Paulo,9,0,1,2,0,2,4,21,0,0,78
Nonsupp&Supp&Paulo,70,0,0,27,5,11,0,37,0,0,300
IronDay15&Nonsupp&Supp&Paulo,33,0,1,12,3,5,0,23,0,0,154
